WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
399,Mandurah,AU,-32.55,115.7,47.16,69,0,8.81,clear sky
400,Chumikan,RU,54.7183,135.315,52.61,99,100,19.1,light rain
401,Swan Hill,AU,-35.3378,143.5544,52.5,66,100,6.96,overcast clouds
402,Carbondale,US,37.7273,-89.2168,85.77,49,20,6.91,few clouds
403,Bud,US,39.447,-86.1758,84.06,49,31,2.95,scattered clouds
404,Teguldet,RU,57.3064,88.1667,54.16,97,4,3.4,clear sky
405,Almelo,NL,52.3567,6.6625,66.45,86,100,5.59,overcast clouds
406,Elk City,US,35.412,-99.4043,88.02,45,40,12.66,scattered clouds
407,Wajir,KE,1.7471,40.0573,78.04,48,64,21.03,broken clouds
408,Bunesti,RO,46.8333,27.9667,75.58,71,89,13.78,overcast clouds
409,Sousa,BR,-6.7592,-38.2281,82.96,43,100,9.37,overcast clouds
410,Najran,SA,17.4924,44.1277,88.45,32,100,7.85,overcast clouds
411,Valparaiso,CL,-33.0393,-71.6273,60.44,72,0,5.75,clear sky
412,Moose Jaw,CA,50.4001,-105.5344,82.67,33,20,2.3,smoke
413,Shimoda,JP,34.6667,138.95,77.11,87,38,10.54,light rain
414,Buala,SB,-8.145,159.5921,79.72,79,87,9.86,light rain
415,Shelburne,CA,44.0787,-80.2041,83.12,35,2,7.36,clear sky
416,Cervo,ES,43.6702,-7.4101,65.97,79,41,12.66,scattered clouds
417,Mae Tha,TH,18.4646,99.1403,77.59,97,100,0.54,overcast clouds
418,Solnechnyy,RU,50.7214,136.6319,59.65,95,100,2.66,moderate rain
419,Torres,BR,-29.3353,-49.7269,64.83,89,100,9.08,overcast clouds
420,Dunmore Town,BS,25.5,-76.65,84.02,75,17,13.27,light rain
421,Puerto Escondido,MX,15.85,-97.0667,85.17,74,100,11.18,overcast clouds
422,Goderich,CA,43.7501,-81.7165,82.04,47,10,10.36,clear sky
423,Severodvinsk,RU,64.5635,39.8302,39.31,84,14,1.45,few clouds
424,Emerald,AU,-23.5333,148.1667,44.98,53,25,8.05,scattered clouds
425,Hobyo,SO,5.3505,48.5268,76.1,84,83,28.01,broken clouds
426,Murgab,TM,37.4966,61.9714,80.47,32,0,6.91,clear sky
427,Tabalosos,PE,-6.35,-76.6833,82.6,40,0,3.83,clear sky
428,Lac Du Bonnet,CA,50.2536,-96.0612,64.58,65,90,14.27,overcast clouds
429,Licheng,CN,23.2955,113.8284,82.33,98,100,1.36,moderate rain
430,Nizhniy Kuranakh,RU,58.8353,125.4869,57.74,88,100,3.42,overcast clouds
431,Launceston,AU,-41.45,147.1667,50.81,91,59,3.0,broken clouds
432,Baruun-Urt,MN,46.6806,113.2792,57.15,64,3,7.07,clear sky
433,Egvekinot,RU,66.3167,-179.1667,45.99,96,100,3.31,moderate rain
434,Vila,PT,42.0304,-8.1588,56.34,82,8,2.71,clear sky
435,Gat,IL,31.61,34.7642,90.39,35,0,4.29,clear sky
436,Cattolica,IT,43.9575,12.7376,77.9,48,37,8.01,scattered clouds
437,Byron Bay,AU,-28.65,153.6167,47.88,73,37,6.15,scattered clouds
438,Kuryk,KZ,43.2,51.65,85.55,37,38,8.52,scattered clouds
439,Changping,CN,40.2186,116.2197,71.96,84,6,4.0,clear sky
440,Port Hardy,CA,50.6996,-127.4199,60.98,88,90,12.66,light rain
441,Erzurum,TR,40.0,41.5,67.68,61,100,1.28,overcast clouds
442,Camacha,PT,33.0833,-16.3333,70.56,94,40,13.8,scattered clouds
443,Ibiapina,BR,-3.9233,-40.8894,77.13,34,34,3.74,scattered clouds
444,Samagaltay,RU,50.6022,95.0047,53.47,93,90,7.56,light rain
445,Peleduy,RU,59.6289,112.7406,58.01,97,71,6.51,broken clouds
446,Chute-Aux-Outardes,CA,49.1168,-68.399,71.91,77,1,4.61,clear sky
447,Verkhnevilyuysk,RU,63.4453,120.3167,52.45,59,0,5.12,clear sky
448,At-Bashi,KG,41.1702,75.8106,52.32,81,16,1.14,few clouds
449,Xingcheng,CN,40.6167,120.7167,72.37,79,80,3.83,broken clouds
450,Kutum,SD,14.2,24.6667,80.42,48,49,17.25,scattered clouds
451,Tutoia,BR,-2.7619,-42.2744,79.66,78,57,10.89,broken clouds
452,Bilibino,RU,68.0546,166.4372,55.18,68,21,4.65,few clouds
453,Cananeia,BR,-25.0147,-47.9267,62.1,88,100,3.0,overcast clouds
454,Dembi Dolo,ET,8.5333,34.8,56.7,93,100,3.71,overcast clouds
455,Mahanoro,MG,-19.9,48.8,66.29,78,73,3.04,light rain
456,Kondoros,HU,46.7667,20.8,65.98,87,46,8.97,scattered clouds
457,Indian Head,US,38.6001,-77.1622,91.31,45,1,4.0,clear sky
458,Verkhoyansk,RU,67.5447,133.385,46.11,74,26,4.23,scattered clouds
459,Maun,BW,-19.9833,23.4167,64.36,34,0,2.3,clear sky
460,Takoradi,GH,4.8845,-1.7554,76.24,84,94,8.66,overcast clouds
461,Krasnoye,UA,49.9145,24.6134,61.95,93,71,7.7,broken clouds
462,Mehamn,NO,71.0357,27.8492,51.71,94,91,5.79,overcast clouds
463,Korla,CN,41.7597,86.1469,81.23,27,94,17.02,overcast clouds
464,Ullapool,GB,57.8987,-5.1604,62.76,92,100,5.91,overcast clouds
465,Rodrigues Alves,BR,-7.738,-72.6509,93.4,22,5,2.53,clear sky
466,Scottsbluff,US,41.8666,-103.6672,97.79,18,1,3.0,clear sky
467,Hualmay,PE,-11.0964,-77.6139,66.6,76,18,11.3,few clouds
468,Ballina,AU,-28.8667,153.5667,46.78,87,45,5.75,scattered clouds
469,Santa Cruz,BO,-17.8,-63.1667,85.46,28,0,6.91,clear sky
470,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.09,80,85,9.01,overcast clouds
471,Cherdyn,RU,60.403,56.4787,51.69,96,2,5.44,clear sky
472,Haicheng,CN,40.8516,122.7475,70.9,88,100,6.26,light rain
473,Chalus,IR,36.655,51.4204,74.66,78,0,0.0,clear sky
474,Sens,FR,48.1667,3.3333,64.85,83,100,14.88,overcast clouds
475,Skotterud,NO,59.9828,12.1283,59.09,67,100,3.06,overcast clouds
476,Mokhsogollokh,RU,61.4681,128.9203,54.52,54,78,4.72,broken clouds
477,Atambua,ID,-9.1061,124.8925,68.67,79,91,6.67,overcast clouds
478,Jinchang,CN,38.4953,102.1739,73.62,26,99,6.08,overcast clouds
479,Saint Anthony,US,45.0205,-93.218,84.34,66,100,3.0,overcast clouds
480,Kalemie,CD,-5.9475,29.1947,74.95,58,47,2.01,scattered clouds
481,Ghansor,IN,22.65,79.95,72.25,94,90,5.26,overcast clouds
482,Laguna,US,38.421,-121.4238,96.64,45,1,8.05,clear sky
483,Morant Bay,JM,17.8815,-76.4093,92.62,66,89,11.92,overcast clouds
484,Svetlogorsk,BY,52.6333,29.7333,62.87,78,79,7.61,broken clouds
485,Alyangula,AU,-13.8483,136.4192,57.07,82,90,0.0,overcast clouds
486,Asosa,ET,10.0667,34.5333,59.25,88,91,3.96,overcast clouds
487,Chanika,TZ,-5.4167,38.0167,62.65,94,60,4.32,broken clouds
488,Aswan,EG,24.0934,32.907,101.5,16,0,4.61,clear sky
489,Bay Roberts,CA,47.5999,-53.2648,76.75,52,54,10.04,broken clouds
490,Beyneu,KZ,45.3167,55.2,92.32,20,96,5.21,overcast clouds
491,Booue,GA,-0.0921,11.9385,75.04,81,22,2.17,light rain
492,Marsh Harbour,BS,26.5412,-77.0636,84.45,73,69,14.0,light rain
493,Kushiro,JP,42.975,144.3747,72.19,89,85,2.75,overcast clouds
494,Coroata,BR,-4.13,-44.1242,82.6,41,15,2.17,few clouds
495,Alofi,NU,-19.0595,-169.9187,71.49,88,20,1.14,few clouds
496,Svetlyy,RU,54.675,20.1347,66.25,65,100,10.89,overcast clouds
497,Bobon,PH,12.5246,124.5636,81.57,82,100,9.95,overcast clouds
498,Banjar,ID,-8.19,114.9675,80.46,90,88,4.29,overcast clouds
499,Youghal,IE,51.95,-7.8506,61.81,100,12,13.82,few clouds
500,Sao Gabriel,BR,-30.3364,-54.32,62.62,79,25,7.18,scattered clouds
501,Marienburg,PL,54.0359,19.0266,65.88,69,100,8.14,overcast clouds
502,Itaituba,BR,-4.2761,-55.9836,95.16,43,20,5.75,few clouds
503,Zagare,LT,56.3592,23.25,57.96,85,83,5.84,broken clouds
504,Wichian Buri,TH,15.6578,101.106,76.53,92,100,5.86,overcast clouds
505,Asahikawa,JP,43.7678,142.3703,74.77,82,26,1.23,scattered clouds
506,Tongliao,CN,43.6125,122.2653,67.06,74,46,5.19,scattered clouds
507,Ambon,ID,-3.6954,128.1814,77.14,94,40,6.91,moderate rain
508,La Rioja,ES,42.25,-2.5,65.98,78,1,4.14,clear sky
509,Sur,OM,22.5667,59.5289,92.39,47,49,10.96,scattered clouds
510,Bayan,CN,46.0833,127.4,65.44,96,100,8.5,overcast clouds
511,Isangel,VU,-19.55,169.2667,69.91,94,82,11.5,broken clouds
512,Udachnyy,RU,66.4167,112.4,53.87,56,0,9.31,clear sky
513,Almeirim,BR,-1.5233,-52.5817,84.88,61,4,0.81,clear sky
514,Mayskiy,RU,47.6931,40.1025,80.44,38,99,8.68,moderate rain
515,Krasnokamensk,RU,50.0979,118.0369,54.48,81,11,3.4,few clouds
516,Hami,CN,42.8,93.45,84.02,20,95,8.39,overcast clouds
517,Puerto Ayacucho,VE,5.6639,-67.6236,79.68,82,89,4.34,overcast clouds
518,Esperance,AU,-33.8667,121.9,49.84,79,0,10.85,clear sky
519,Saraland,US,30.8207,-88.0706,91.63,58,62,6.44,broken clouds
520,Rongcheng,CN,30.634,117.8517,76.12,97,28,2.46,scattered clouds
521,Mankono,CI,8.0586,-6.1897,73.8,81,89,4.94,overcast clouds
522,Payson,US,40.0444,-111.7321,100.9,16,26,8.01,scattered clouds
523,Lang Son,VN,21.8333,106.7333,79.38,83,100,1.9,overcast clouds
524,Whyalla,AU,-33.0333,137.5833,49.89,100,90,5.75,overcast clouds
525,Bukachacha,RU,52.9833,116.9167,55.89,94,99,1.48,overcast clouds
526,Amposta,ES,40.7131,0.581,79.88,82,24,5.55,few clouds
527,Ajdabiya,LY,30.7554,20.2263,88.75,36,3,15.82,clear sky
528,Yining,CN,29.0361,114.5636,76.96,97,35,1.7,scattered clouds
529,Santa Rosa,PH,14.3122,121.1114,83.1,85,91,7.54,overcast clouds
530,Saint-Augustin,CA,51.226,-58.6502,68.76,71,100,20.87,overcast clouds
531,Bathsheba,BB,13.2167,-59.5167,84.81,70,75,12.66,broken clouds
532,Maldonado,UY,-34.6667,-54.9167,62.22,87,77,9.98,broken clouds
533,Catuday,PH,16.2923,119.8062,80.35,84,98,24.72,overcast clouds
534,Port Elgin,CA,46.0487,-64.0868,77.05,96,100,7.47,overcast clouds
535,Tura,IN,25.5198,90.2201,74.86,95,100,2.39,overcast clouds
536,Cawayan,PH,9.9718,122.6249,79.11,88,92,6.62,overcast clouds
537,Thanh Hoa,VN,19.8,105.7667,80.58,81,100,3.76,overcast clouds
538,Bilma,NE,18.6853,12.9164,98.17,17,7,5.99,clear sky
539,Bahia Blanca,AR,-38.7196,-62.2724,65.71,35,0,15.95,clear sky
540,Yerbogachen,RU,61.2767,108.0108,58.55,74,56,4.97,broken clouds
541,Storsteinnes,NO,69.2408,19.2344,53.6,84,100,3.69,overcast clouds
542,Ankpa,NG,7.3706,7.6253,70.59,97,97,7.45,light rain
543,Port Keats,AU,-14.25,129.55,66.33,24,95,13.2,overcast clouds
544,Qinzhou,CN,21.95,108.6167,83.3,86,96,5.61,moderate rain
545,Harbour Breton,CA,47.4833,-55.7983,62.11,78,67,8.14,broken clouds
546,Bandundu,CD,-3.3167,17.3667,82.9,33,5,2.48,clear sky
547,Milkovo,RU,54.7167,158.6167,47.23,65,78,5.5,broken clouds
548,Veraval,IN,20.9,70.3667,81.18,82,100,15.37,overcast clouds
549,Minyar,RU,55.0709,57.5485,60.3,97,0,1.39,clear sky
550,Darhan,MN,49.4867,105.9228,61.63,83,66,3.51,broken clouds
